"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Fossil Gas","3279.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Fossil Hard coal","272.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Fossil Oil","20.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Fossil Oil shale","0.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Fossil Peat","0.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Geothermal","0.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Hydro Pumped Storage","0.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Hydro Run-of-river and poundage","808.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Hydro Water Reservoir","1395.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Marine","0.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Nuclear","7092.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Other","0.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Other renewable","68.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Solar","6917.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Energy storage","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Waste","243.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Wind Offshore","0.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|ES","Wind Onshore","5649.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Biomass","209.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Fossil Brown coal/Lignite","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Fossil Coal-derived gas","0.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|ES","Fossil Gas","3009.00"
