 "MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
 "03/01/2024 12:15:00 - 03/01/2024 12:30:00","BZN|ES","30647.00","30712.00"
 "03/01/2024 12:30:00 - 03/01/2024 12:45:00","BZN|ES","30633.00","30568.00"
 "03/01/2024 12:45:00 - 03/01/2024 13:00:00","BZN|ES","30664.00","30640.00"
 "03/01/2024 13:00:00 - 03/01/2024 13:15:00","BZN|ES","30749.00","30864.00"
 "03/01/2024 13:15:00 - 03/01/2024 13:30:00","BZN|ES","30788.00","30968.00"
 "03/01/2024 13:30:00 - 03/01/2024 13:45:00","BZN|ES","30793.00","31124.00"
 "03/01/2024 13:45:00 - 03/01/2024 14:00:00","BZN|ES","30758.00","31188.00"
 "03/01/2024 14:00:00 - 03/01/2024 14:15:00","BZN|ES","30757.00","31180.00"
 "03/01/2024 14:15:00 - 03/01/2024 14:30:00","BZN|ES","30630.00","31172.00"
 "03/01/2024 14:30:00 - 03/01/2024 14:45:00","BZN|ES","30462.00","31156.00"
 "03/01/2024 14:45:00 - 03/01/2024 15:00:00","BZN|ES","30296.00","31040.00"
 "03/01/2024 15:00:00 - 03/01/2024 15:15:00","BZN|ES","29966.00","30788.00"
 "03/01/2024 15:15:00 - 03/01/2024 15:30:00","BZN|ES","29968.00","30476.00"
 "03/01/2024 15:30:00 - 03/01/2024 15:45:00","BZN|ES","30112.00","30376.00"
 "03/01/2024 15:45:00 - 03/01/2024 16:00:00","BZN|ES","30343.00","30360.00"
 "03/01/2024 16:00:00 - 03/01/2024 16:15:00","BZN|ES","30731.00","30256.00"
 "03/01/2024 16:15:00 - 03/01/2024 16:30:00","BZN|ES","30904.00","30184.00"
 "03/01/2024 16:30:00 - 03/01/2024 16:45:00","BZN|ES","30960.00","30156.00"
 "03/01/2024 16:45:00 - 03/01/2024 17:00:00","BZN|ES","30959.00","30220.00"
 "03/01/2024 17:00:00 - 03/01/2024 17:15:00","BZN|ES","30740.00","30240.00"
 "03/01/2024 17:15:00 - 03/01/2024 17:30:00","BZN|ES","30885.00","30284.00"
 "03/01/2024 17:30:00 - 03/01/2024 17:45:00","BZN|ES","31206.00","30504.00"
 "03/01/2024 17:45:00 - 03/01/2024 18:00:00","BZN|ES","31641.00","30680.00"
 "03/01/2024 18:00:00 - 03/01/2024 18:15:00","BZN|ES","32268.00","31128.00"
 "03/01/2024 18:15:00 - 03/01/2024 18:30:00","BZN|ES","32671.00","31540.00"
 "03/01/2024 18:30:00 - 03/01/2024 18:45:00","BZN|ES","32945.00","31852.00"
 "03/01/2024 18:45:00 - 03/01/2024 19:00:00","BZN|ES","33116.00","32076.00"
 "03/01/2024 19:00:00 - 03/01/2024 19:15:00","BZN|ES","33235.00","32196.00"
 "03/01/2024 19:15:00 - 03/01/2024 19:30:00","BZN|ES","33343.00","32336.00"
 "03/01/2024 19:30:00 - 03/01/2024 19:45:00","BZN|ES","33479.00","32320.00"
 "03/01/2024 19:45:00 - 03/01/2024 20:00:00","BZN|ES","33627.00","32324.00"
 "03/01/2024 20:00:00 - 03/01/2024 20:15:00","BZN|ES","33877.00","32520.00"
 "03/01/2024 20:15:00 - 03/01/2024 20:30:00","BZN|ES","33966.00","32692.00"
 "03/01/2024 20:30:00 - 03/01/2024 20:45:00","BZN|ES","33980.00","32932.00"
 "03/01/2024 20:45:00 - 03/01/2024 21:00:00","BZN|ES","33885.00","33000.00"
