"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|DE-LU"
"03.01.2024 16:45 - 03.01.2024 17:00","85.41","EUR"
"03.01.2024 17:00 - 03.01.2024 17:15","74.90","EUR"
"03.01.2024 17:15 - 03.01.2024 17:30","82.41","EUR"
"03.01.2024 17:30 - 03.01.2024 17:45","89.91","EUR"
"03.01.2024 17:45 - 03.01.2024 18:00","63.81","EUR"
"03.01.2024 18:00 - 03.01.2024 18:15","84.92","EUR"
"03.01.2024 18:15 - 03.01.2024 18:30","68.28","EUR"
"03.01.2024 18:30 - 03.01.2024 18:45","89.91","EUR"
"03.01.2024 18:45 - 03.01.2024 19:00","80.89","EUR"
"03.01.2024 19:00 - 03.01.2024 19:15","92.43","EUR"
"03.01.2024 19:15 - 03.01.2024 19:30","89.91","EUR"
"03.01.2024 19:30 - 03.01.2024 19:45","68.57","EUR"
"03.01.2024 19:45 - 03.01.2024 20:00","45.09","EUR"
"03.01.2024 20:00 - 03.01.2024 20:15","114.93","EUR"
"03.01.2024 20:15 - 03.01.2024 20:30","82.85","EUR"
"03.01.2024 20:30 - 03.01.2024 20:45","40.05","EUR"
"03.01.2024 20:45 - 03.01.2024 21:00","30.05","EUR"
"03.01.2024 21:00 - 03.01.2024 21:15","84.97","EUR"
"03.01.2024 21:15 - 03.01.2024 21:30","72.43","EUR"
"03.01.2024 21:30 - 03.01.2024 21:45","64.92","EUR"
"03.01.2024 21:45 - 03.01.2024 22:00","36.24","EUR"
"03.01.2024 22:00 - 03.01.2024 22:15","99.95","EUR"
"03.01.2024 22:15 - 03.01.2024 22:30","67.45","EUR"
"03.01.2024 22:30 - 03.01.2024 22:45","57.42","EUR"
"03.01.2024 22:45 - 03.01.2024 23:00","32.06","EUR"
"03.01.2024 23:00 - 03.01.2024 23:15","69.94","EUR"
"03.01.2024 23:15 - 03.01.2024 23:30","59.92","EUR"
"03.01.2024 23:30 - 03.01.2024 23:45","49.91","EUR"
"03.01.2024 23:45 - 04.01.2024 00:00","43.54","EUR"
"04.01.2024 00:00 - 04.01.2024 00:15","59.95","EUR"
"04.01.2024 00:15 - 04.01.2024 00:30","49.93","EUR"
"04.01.2024 00:30 - 04.01.2024 00:45","42.40","EUR"
"04.01.2024 00:45 - 04.01.2024 01:00","29.89","EUR"
"04.01.2024 01:00 - 04.01.2024 01:15","49.96","EUR"
"04.01.2024 01:15 - 04.01.2024 01:30","44.93","EUR"
"04.01.2024 01:30 - 04.01.2024 01:45","34.92","EUR"
"04.01.2024 01:45 - 04.01.2024 02:00","29.92","EUR"
"04.01.2024 02:00 - 04.01.2024 02:15","41.60","EUR"
"04.01.2024 02:15 - 04.01.2024 02:30","29.70","EUR"
"04.01.2024 02:30 - 04.01.2024 02:45","27.00","EUR"
"04.01.2024 02:45 - 04.01.2024 03:00","21.59","EUR"
"04.01.2024 03:00 - 04.01.2024 03:15","27.70","EUR"
"04.01.2024 03:15 - 04.01.2024 03:30","16.20","EUR"
"04.01.2024 03:30 - 04.01.2024 03:45","23.09","EUR"
"04.01.2024 03:45 - 04.01.2024 04:00","27.69","EUR"
"04.01.2024 04:00 - 04.01.2024 04:15","31.76","EUR"
"04.01.2024 04:15 - 04.01.2024 04:30","24.70","EUR"
"04.01.2024 04:30 - 04.01.2024 04:45","34.91","EUR"
"04.01.2024 04:45 - 04.01.2024 05:00","39.99","EUR"
